floor_idx,point_idx,x_mm,y_mm,r_mm,t_mm
0.0,1.0,0.0,0.0,0.0,0.0
0.0,2.0,31.559999465942383,0.0,0.0,0.0
0.0,3.0,63.119998931884766,0.0,0.0,0.0
0.0,4.0,94.68000030517578,6.0,0.0,0.0
0.0,5.0,126.23999786376953,12.0,0.0,0.0
0.0,6.0,157.9199981689453,42.0,0.0,0.0
0.0,7.0,189.47999572753906,60.0,0.0,0.0
0.0,8.0,221.0399932861328,60.0,0.0,0.0
0.0,9.0,252.60000610351562,54.0,0.0,0.0
0.0,10.0,284.1600036621094,54.0,0.0,0.0
0.0,11.0,315.8399963378906,54.0,0.0,0.0
0.0,12.0,347.3999938964844,54.0,0.0,0.0
0.0,13.0,378.9599914550781,60.0,0.0,0.0
0.0,14.0,410.5199890136719,60.0,0.0,0.0
0.0,15.0,442.0799865722656,42.0,0.0,0.0
0.0,16.0,473.6400146484375,12.0,0.0,0.0
0.0,17.0,505.32000732421875,6.0,0.0,0.0
0.0,18.0,536.8800048828125,0.0,0.0,0.0
0.0,19.0,568.4400024414062,0.0,0.0,0.0
0.0,20.0,600.0,0.0,0.0,0.0
1.0,1.0,18.75,0.0,0.0,0.0
1.0,2.0,49.342105865478516,0.0,0.0,0.0
1.0,3.0,79.93421173095703,0.0,0.0,0.0
1.0,4.0,126.49409484863281,3.769418478012085,0.0,0.0
1.0,5.0,158.03936767578125,7.388952732086182,0.0,0.0
1.0,6.0,195.36077880859375,56.318878173828125,0.0,0.0
1.0,7.0,214.75567626953125,66.49472045898438,0.0,0.0
1.0,8.0,239.7948455810547,64.11431121826172,0.0,0.0
1.0,9.0,266.23284912109375,56.78535079956055,0.0,0.0
1.0,10.0,292.8692321777344,55.52968215942383,0.0,0.0
1.0,11.0,320.3905944824219,55.736751556396484,0.0,0.0
1.0,12.0,348.5631103515625,54.955665588378906,0.0,0.0
1.0,13.0,375.3200378417969,60.65238571166992,0.0,0.0
1.0,14.0,403.6552429199219,60.90176010131836,0.0,0.0
1.0,15.0,436.9683837890625,41.1241569519043,0.0,0.0
1.0,16.0,466.654541015625,10.96430492401123,0.0,0.0
1.0,17.0,497.06695556640625,5.041037559509277,0.0,0.0
1.0,18.0,538.8157958984375,0.0,0.0,0.0
1.0,19.0,569.4078979492188,0.0,0.0,0.0
1.0,20.0,600.0,0.0,0.0,0.0
2.0,1.0,37.5,0.0,0.0,0.0
2.0,2.0,67.10526275634766,0.0,0.0,0.0
2.0,3.0,96.71052551269531,0.0,0.0,0.0
2.0,4.0,140.9221954345703,3.697720527648926,0.0,0.0
2.0,5.0,171.9848175048828,7.356706619262695,0.0,0.0
2.0,6.0,207.6432342529297,55.50035858154297,0.0,0.0
2.0,7.0,226.79824829101562,65.95481872558594,0.0,0.0
2.0,8.0,251.2385711669922,63.756961822509766,0.0,0.0
2.0,9.0,277.0069274902344,56.69198226928711,0.0,0.0
2.0,10.0,303.0787658691406,55.54389953613281,0.0,0.0
2.0,11.0,330.16064453125,55.830360412597656,0.0,0.0
2.0,12.0,357.51104736328125,55.075870513916016,0.0,0.0
2.0,13.0,383.5117492675781,60.77623748779297,0.0,0.0
2.0,14.0,410.8677978515625,61.00555419921875,0.0,0.0
2.0,15.0,443.15728759765625,41.4119873046875,0.0,0.0
2.0,16.0,471.59454345703125,11.192395210266113,0.0,0.0
2.0,17.0,501.1264343261719,5.180105686187744,0.0,0.0
2.0,18.0,540.7894897460938,0.0,0.0,0.0
2.0,19.0,570.3947143554688,0.0,0.0,0.0
2.0,20.0,600.0,0.0,0.0,0.0
3.0,1.0,56.25,0.0,0.0,0.0
3.0,2.0,84.86842346191406,0.0,0.0,0.0
3.0,3.0,113.4868392944336,0.0,0.0,0.0
3.0,4.0,155.54847717285156,3.6413815021514893,0.0,0.0
3.0,5.0,185.735595703125,7.530869483947754,0.0,0.0
3.0,6.0,219.89813232421875,54.41972351074219,0.0,0.0
3.0,7.0,238.8058624267578,65.41676330566406,0.0,0.0
3.0,8.0,262.65594482421875,63.407066345214844,0.0,0.0
3.0,9.0,287.8817443847656,56.514869689941406,0.0,0.0
3.0,10.0,313.2884216308594,55.753875732421875,0.0,0.0
3.0,11.0,339.8576354980469,55.83145523071289,0.0,0.0
3.0,12.0,366.3936462402344,55.16379165649414,0.0,0.0
3.0,13.0,391.7102355957031,60.8988037109375,0.0,0.0
3.0,14.0,418.23223876953125,61.13471221923828,0.0,0.0
3.0,15.0,449.11962890625,41.633575439453125,0.0,0.0
3.0,16.0,476.5879211425781,11.363456726074219,0.0,0.0
3.0,17.0,505.1589660644531,5.344242095947266,0.0,0.0
3.0,18.0,542.76318359375,0.0,0.0,0.0
3.0,19.0,571.381591796875,0.0,0.0,0.0
3.0,20.0,600.0,0.0,0.0,0.0
4.0,1.0,75.0,0.0,0.0,0.0
4.0,2.0,102.63157653808594,0.0,0.0,0.0
4.0,3.0,130.26315307617188,0.0,0.0,0.0
4.0,4.0,170.44007873535156,3.7733633518218994,0.0,0.0
4.0,5.0,199.3755340576172,7.798218250274658,0.0,0.0
4.0,6.0,232.2580108642578,53.22779846191406,0.0,0.0
4.0,7.0,251.0641326904297,64.94548034667969,0.0,0.0
4.0,8.0,274.1295471191406,63.2362060546875,0.0,0.0
4.0,9.0,298.95977783203125,56.40304946899414,0.0,0.0
