floor_idx,point_idx,x_mm,y_mm,r_mm,t_mm
0.0,1.0,300.0,0.0,0.0,0.0
0.0,2.0,315.7799987792969,0.0,0.0,0.0
0.0,3.0,331.55999755859375,0.0,0.0,0.0
0.0,4.0,349.9302978515625,-2.7092885971069336,0.0,0.0
0.0,5.0,365.77020263671875,3.2274417877197266,0.0,0.0
0.0,6.0,381.554443359375,33.32117462158203,0.0,0.0
0.0,7.0,397.3844909667969,51.29581832885742,0.0,0.0
0.0,8.0,413.2004699707031,51.23357009887695,0.0,0.0
0.0,9.0,429.0079040527344,45.186012268066406,0.0,0.0
0.0,10.0,444.82318115234375,45.11661148071289,0.0,0.0
0.0,11.0,460.69476318359375,45.061038970947266,0.0,0.0
0.0,12.0,476.509765625,45.001914978027344,0.0,0.0
0.0,13.0,492.31854248046875,50.95872497558594,0.0,0.0
0.0,14.0,508.1371154785156,50.85891342163086,0.0,0.0
0.0,15.0,523.9293212890625,32.764892578125,0.0,0.0
0.0,16.0,539.8056030273438,2.65286922454834,0.0,0.0
0.0,17.0,555.6620483398438,-3.4531097412109375,0.0,0.0
0.0,18.0,568.4400024414062,0.0,0.0,0.0
0.0,19.0,584.219970703125,0.0,0.0,0.0
0.0,20.0,600.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.5
0.0,1.0,360.0,-18.0,0.0,0.0
0.0,2.0,369.4800109863281,-18.0,0.0,0.0
0.0,3.0,378.9599914550781,-18.0,0.0,0.0
0.0,4.0,391.0809020996094,-26.95940399169922,0.0,0.0
0.0,5.0,400.5821838378906,-26.984344482421875,0.0,0.0
0.0,6.0,410.1411437988281,-8.970494270324707,0.0,0.0
0.0,7.0,419.5174560546875,15.102015495300293,0.0,0.0
0.0,8.0,429.03289794921875,27.08859634399414,0.0,0.0
0.0,9.0,438.52899169921875,27.064022064208984,0.0,0.0
0.0,10.0,448.02557373046875,27.034420013427734,0.0,0.0
0.0,11.0,457.5247802734375,27.000192642211914,0.0,0.0
0.0,12.0,467.02587890625,26.9627742767334,0.0,0.0
0.0,13.0,476.5302429199219,26.90212059020996,0.0,0.0
0.0,14.0,486.0137634277344,14.837644577026367,0.0,0.0
0.0,15.0,495.5002746582031,-9.247762680053711,0.0,0.0
0.0,16.0,505.00506591796875,-27.336084365844727,0.0,0.0
0.0,17.0,514.5694580078125,-27.41114044189453,0.0,0.0
0.0,18.0,521.0399780273438,-18.0,0.0,0.0
0.0,19.0,530.52001953125,-18.0,0.0,0.0
0.0,20.0,540.0,-18.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.5
0.0,1.0,360.0,-24.0,0.0,0.0
0.0,2.0,369.4800109863281,-24.0,0.0,0.0
0.0,3.0,378.9599914550781,-24.0,0.0,0.0
0.0,4.0,391.09259033203125,-32.99195098876953,0.0,0.0
0.0,5.0,400.5890197753906,-33.022438049316406,0.0,0.0
0.0,6.0,410.1568908691406,-33.06303405761719,0.0,0.0
0.0,7.0,419.5735168457031,-21.05147933959961,0.0,0.0
0.0,8.0,429.0794677734375,-21.089683532714844,0.0,0.0
0.0,9.0,438.575927734375,-21.122573852539062,0.0,0.0
0.0,10.0,448.0753173828125,-24.158536911010742,0.0,0.0
0.0,11.0,457.5762939453125,-24.197731018066406,0.0,0.0
0.0,12.0,467.0738525390625,-21.226104736328125,0.0,0.0
0.0,13.0,476.5738220214844,-21.260906219482422,0.0,0.0
0.0,14.0,486.0699462890625,-21.312549591064453,0.0,0.0
0.0,15.0,495.5193786621094,-33.346534729003906,0.0,0.0
0.0,16.0,505.0190124511719,-33.40463638305664,0.0,0.0
0.0,17.0,514.5791625976562,-33.44076156616211,0.0,0.0
0.0,18.0,521.0399780273438,-24.0,0.0,0.0
0.0,19.0,530.52001953125,-24.0,0.0,0.0
0.0,20.0,540.0,-24.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.5
0.0,1.0,300.0,0.0,0.0,0.0
0.0,2.0,315.7799987792969,0.0,0.0,0.0
0.0,3.0,331.55999755859375,0.0,0.0,0.0
0.0,4.0,349.9981994628906,-32.921607971191406,0.0,0.0
0.0,5.0,365.8543395996094,-39.00851821899414,0.0,0.0
0.0,6.0,381.6701354980469,-39.084312438964844,0.0,0.0
0.0,7.0,397.48065185546875,-39.13998031616211,0.0,0.0
0.0,8.0,413.3014831542969,-39.21257019042969,0.0,0.0
0.0,9.0,429.0916442871094,-27.215234756469727,0.0,0.0
0.0,10.0,444.9103088378906,-27.28316307067871,0.0,0.0
0.0,11.0,460.7812805175781,-27.339176177978516,0.0,0.0
0.0,12.0,476.59197998046875,-27.419767379760742,0.0,0.0
0.0,13.0,492.4062194824219,-39.460899353027344,0.0,0.0
0.0,14.0,508.2206115722656,-39.54751968383789,0.0,0.0
0.0,15.0,524.0311889648438,-39.60404586791992,0.0,0.0
0.0,16.0,539.8397216796875,-39.651371002197266,0.0,0.0
0.0,17.0,555.739990234375,-33.72319412231445,0.0,0.0
0.0,18.0,568.4400024414062,0.0,0.0,0.0
0.0,19.0,584.219970703125,0.0,0.0,0.0
0.0,20.0,600.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.5
